n,positive_rate,roc_auc,pr_auc,pr_auc_lift_over_base,best_f1,best_f1_threshold,precision_at_best_f1,recall_at_best_f1,recall_at_precision_30,threshold_at_precision_30,recall_at_precision_50,threshold_at_precision_50,brier,log_loss,ks,lift_at_10pct,target,split,model,ece
3913,0.0917454638384871,0.8882470690955148,0.7358328716404292,8.020373333506962,0.7389830508474577,0.9633287965043409,0.9437229437229437,0.6072423398328691,0.7994428969359332,0.4446532012630993,0.6852367688022284,0.6132808413403508,0.11487111621668653,0.380574878607313,0.6286517760991186,6.550983479258241,next_6m_delinquency_flag,test,baseline_logistic,0.23026315458950292
3913,0.0917454638384871,0.8784041050689482,0.731774281382929,7.9761358302267436,0.7411167512690355,0.714508188429387,0.9439655172413793,0.6100278551532033,0.7632311977715878,0.030963847553904317,0.6880222841225627,0.10900392573255804,0.040521466876677015,0.17579557234117021,0.6269925369507934,6.634613055589197,next_6m_delinquency_flag,test,lgbm_raw,0.02740404772090385
3913,0.0917454638384871,0.8784041050689482,0.731774281382929,7.9761358302267436,0.7411167512690355,0.6336710640778151,0.9439655172413793,0.6100278551532033,0.7632311977715878,0.03989286575117244,0.6880222841225627,0.11579236965495145,0.03934438282142967,0.16626764971090363,0.6269925369507934,6.634613055589197,next_6m_delinquency_flag,test,lgbm_calibrated,0.022481250198954493
3511,0.05582455140985474,0.5,0.05582455140985474,1.0,0.10574588616131643,0.05118635030658491,0.05582455140985474,1.0,0.0,,0.0,,0.0527296837792176,0.21553601314547777,0.17124542124542125,0.6124193267050411,next_12m_default_flag,valid,prior,0.0
3511,0.05582455140985474,0.8736325299350509,0.567435275072767,10.164618626431047,0.5824175824175825,0.7534934380540925,0.6309523809523809,0.5408163265306123,0.6785714285714286,0.5362939234415515,0.5561224489795918,0.6729134726013855,0.08504324328796348,0.30067091047183475,0.5991304213993289,6.2772980987266696,next_12m_default_flag,valid,baseline_logistic,0.16380961950435327
3511,0.05582455140985474,0.9378197432819282,0.761327616484785,13.637863578969796,0.757396449704142,0.4369839432651451,0.9014084507042254,0.6530612244897959,0.7755102040816326,0.02887584221030294,0.7346938775510204,0.09180251699633594,0.02188852296751205,0.09685453111998087,0.7042263059069782,7.400066864352579,next_12m_default_flag,valid,lgbm_raw,0.011028908882476894
3511,0.05582455140985474,0.9378197432819282,0.761327616484785,13.637863578969796,0.757396449704142,0.4609008148102444,0.9014084507042254,0.6530612244897959,0.7755102040816326,0.04903737920970298,0.7346938775510204,0.1288108776913306,0.022222920633932615,0.0943789370620316,0.7042263059069782,7.400066864352579,next_12m_default_flag,valid,lgbm_calibrated,0.010158568040204308
4040,0.07227722772277227,0.5,0.07227722772277227,1.0,0.1348107109879963,0.05118635030658491,0.07227722772277227,1.0,0.0,,0.0,,0.06749805518566744,0.26357354227883917,0.1135509714770252,0.5136986301369864,next_12m_default_flag,test,prior,0.0
4040,0.07227722772277227,0.9022327889943129,0.6355307495368889,8.792959685373395,0.6863905325443789,0.8417363431355531,0.8093023255813954,0.5958904109589042,0.7602739726027398,0.4271573188614025,0.6815068493150684,0.6004940764762617,0.08430459108928927,0.30895981862094557,0.6366865981491499,6.815068493150686,next_12m_default_flag,test,baseline_logistic,0.1614031843347366
4040,0.07227722772277227,0.8972054502127162,0.6254793428802966,8.653892278206843,0.6612244897959184,0.48197136973284915,0.8181818181818182,0.5547945205479452,0.7773972602739726,0.01750831667994414,0.6678082191780822,0.09771655947231499,0.0385644305397854,0.17765795988213537,0.6585283840879519,6.678082191780822,next_12m_default_flag,test,lgbm_raw,0.024457802874828113
4040,0.07227722772277227,0.8972054502127162,0.6254793428802966,8.653892278206843,0.6612244897959184,0.49983221144032797,0.8181818181818182,0.5547945205479452,0.7773972602739726,0.03212008439917613,0.6678082191780822,0.13562128152072564,0.038376706707064584,0.1627648953736099,0.6585283840879519,6.678082191780822,next_12m_default_flag,test,lgbm_calibrated,0.021401619440462243
3511,0.072059242381088,0.5,0.072059242381088,1.0,0.13443145589798086,0.1521499028830407,0.072059242381088,1.0,0.0,,0.0,,0.07328122186819067,0.28883750778376105,0.07777510876237759,1.0279607670912019,next_12m_prepayment_flag,valid,prior,0.0
3511,0.072059242381088,0.6919944096259254,0.15744941371215848,2.184999571317741,0.27287853577371046,0.794655082478488,0.23563218390804597,0.3241106719367589,0.019762845849802372,0.9109159219901759,0.0,,0.1948107482918478,0.5844796526440464,0.37033073953563983,3.242030111595329,next_12m_prepayment_flag,valid,baseline_logistic,0.30780168850648165
3511,0.072059242381088,0.9050340056825764,0.7385091100195161,10.248638281733285,0.7053364269141531,0.4175202003757791,0.8539325842696629,0.6007905138339921,0.8181818181818182,0.04006248693072081,0.6996047430830039,0.114840936904847,0.03176297252102491,0.14047576626472347,0.6881910626806135,6.998040606736259,next_12m_prepayment_flag,valid,lgbm_raw,0.013412134708300778
3511,0.072059242381088,0.9153812931136976,0.7231030766215538,10.034841509953658,0.7053364269141531,0.36363636363636365,0.8539325842696629,0.6007905138339921,0.8181818181818182,0.037037037037037035,0.6561264822134387,0.35,0.029348146300320663,0.11860117105491656,0.7066327459073075,7.274799274799276,next_12m_prepayment_flag,valid,lgbm_calibrated,1.6604955853489328e-07
4040,0.17103960396039605,0.5,0.17103960396039605,1.0,0.29211583174804484,0.1521499028830407,0.17103960396039605,1.0,0.0,,0.0,,0.14214187864425876,0.4588696955415252,0.13022787111862233,1.2590448625180897,next_12m_prepayment_flag,test,prior,0.0
4040,0.17103960396039605,0.6511899139168915,0.31459314707666536,1.8393000205350623,0.37012987012987014,0.6544157844807267,0.27235494880546074,0.5774240231548481,0.402315484804631,0.7902414223555152,0.1389290882778582,0.8714957348014996,0.2562533931410341,0.7591350268013275,0.2647307293924056,2.069464544138929,next_12m_prepayment_flag,test,baseline_logistic,0.2735342217519253
4040,0.17103960396039605,0.6845834707122544,0.275051230262392,1.6081142840232467,0.38410004466279585,0.068224052363625,0.2777777777777778,0.622286541244573,0.341534008683068,0.2573992746086074,0.0,,0.15379070168666506,0.5503320440506642,0.3057404439366526,1.6497829232995656,next_12m_prepayment_flag,test,lgbm_raw,0.11312330881521032
4040,0.17103960396039605,0.6685059237502695,0.2551682569349863,1.4918665094317576,0.38365896980461817,0.07692307692307693,0.2767456758488149,0.6251808972503617,0.2995658465991317,0.11900552157741413,0.0,,0.1612232956605412,0.7437178204273744,0.28967370003530446,1.736613603473227,next_12m_prepayment_flag,test,lgbm_calibrated,0.1148580160679605
