loan_age_months,at_risk,cif_default,cif_prepay,event_free_survival,naive_1_minus_km_default,km_overstatement
35.0,571,0.08728148069225174,0.46944996555650476,0.44326855375124335,0.12948939268379744,0.04220791199154571
35.5,571,0.08728148069225174,0.4702262677522162,0.4424922515555319,0.12948939268379744,0.04220791199154571
36.0,570,0.0919392938665205,0.47876559190504225,0.4292951142284371,0.13865266223449435,0.04671336836797385
36.5,555,0.0919392938665205,0.48031260132568526,0.42774810480779407,0.13865266223449435,0.04671336836797385
37.0,553,0.09425980799748503,0.48727414371857886,0.41846604828393597,0.1433254326021196,0.04906562460463458
37.5,552,0.09425980799748503,0.49030650638730305,0.41543368561521177,0.1433254326021196,0.04906562460463458
38.0,548,0.09501789866466608,0.5009197757278376,0.4040623256074961,0.14488870736014525,0.04987080869547918
38.5,542,0.09501789866466608,0.501665278173608,0.40331682316172585,0.14488870736014525,0.04987080869547918
39.0,541,0.1002364157850581,0.5098658050770811,0.38989777913786067,0.1559529939562242,0.0557165781711661
39.5,528,0.1002364157850581,0.5106042478405998,0.38915933637434197,0.1559529939562242,0.0557165781711661
40.0,527,0.10392862960265148,0.5150349044217118,0.38103646597563656,0.16396103006669627,0.06003240046404479
40.5,521,0.10392862960265148,0.5157662604024712,0.38030510999487716,0.16396103006669627,0.06003240046404479
41.0,520,0.10539134156417024,0.5208857522677869,0.3737229061680427,0.16717656456643992,0.061785223002269685
42.0,514,0.1068455162963416,0.523067014366044,0.37008746933761427,0.17041712268096776,0.06357160638462615
43.0,511,0.10901824116525127,0.5266882224808934,0.36429353635385514,0.17528747225426922,0.06626923108901794
44.0,502,0.11046960983598376,0.5317680128284571,0.35776237733555893,0.17857317953612473,0.06810356970014096
45.0,500,0.11261618409999712,0.5353456366018127,0.35203817929819,0.18350174045890755,0.07088555635891043
46.0,499,0.11402715876652293,0.5395785606013901,0.3463942806320867,0.18677427857330064,0.07274711980677771
46.5,496,0.11402715876652293,0.5409753117329711,0.3449975295005057,0.18677427857330064,0.07274711980677771
47.0,494,0.11751903659547541,0.5458639406935045,0.33661702271101973,0.19500530814239692,0.0774862715469215
47.5,487,0.11751903659547541,0.5472463514643917,0.3352346119401326,0.19500530814239692,0.0774862715469215
48.0,485,0.11821024198091898,0.550011173006166,0.33177858501291474,0.19666509101220608,0.0784548490312871
49.0,486,0.1209409299234121,0.5582032368336454,0.32085583324294226,0.20327690096272288,0.08233597103931078
50.0,468,0.12368328747249707,0.5595744156081879,0.3167422969193148,0.2100865000997939,0.08640321262729683
51.0,455,0.12507556130510944,0.5623589632734126,0.3125654754214777,0.21355864735210217,0.08848308604699273
52.0,443,0.12507556130510944,0.5665923557170444,0.308332082977846,0.21355864735210217,0.08848308604699273
53.0,435,0.13003722700820122,0.5701364026478242,0.29982637034397436,0.22621402544068936,0.09617679843248814
54.0,416,0.13292017287689328,0.5737400849836892,0.2933397421394172,0.23365427519606707,0.10073410231917379
55.0,401,0.13292017287689328,0.5773976877535074,0.289682139369599,0.23365427519606707,0.10073410231917379
56.0,390,0.1351484970258902,0.5818543360515013,0.2829971669226083,0.23954924230994346,0.10440074528405324
57.0,376,0.13891175722432916,0.5848649442102525,0.2762232985654182,0.24966161940688592,0.11074986218255675
58.0,361,0.14350272617555496,0.5886907516696073,0.2678065221548376,0.26213261742228355,0.1186298912467286
59.0,346,0.14659875533341435,0.5933347954063963,0.26006644926018907,0.27066287618040796,0.12406412084699361
60.0,335,0.14892770861037127,0.5956637486833533,0.2554085427062752,0.27719425340864323,0.12826654479827196
61.0,322,0.14892770861037127,0.5972501371473674,0.25382215424226107,0.27719425340864323,0.12826654479827196
62.0,320,0.1505140970743854,0.6004229140753957,0.24906298885021866,0.281711789324839,0.13119769225045358
63.0,311,0.1521157883210106,0.6052279878152713,0.24265622386371788,0.2863310061137464,0.1342152177927358
64.0,299,0.15373890687528297,0.6084742249238161,0.2377868682009008,0.29110471175847064,0.13736580488318767
65.0,289,0.15620728266975598,0.6092970168553071,0.23449570047493679,0.2984634863768951,0.14225620370713915
66.0,281,0.15871079548621436,0.6143040424882239,0.22698516202556157,0.3059532000454691,0.14724240455925475
67.0,270,0.1603921670567741,0.6151447282735037,0.224463104669722,0.31109428745254,0.1507021203957659
68.0,260,0.16125548669011916,0.617734687173539,0.22100982613634168,0.3137439248084919,0.15248843811837273
69.0,251,0.1621360039257221,0.6212567561159508,0.2166072399583269,0.316478012757462,0.1543420088317399
70.0,241,0.16303478915376496,0.6230543265720365,0.21391088427419835,0.3193142035758958,0.15627941442213084
71.0,235,0.16303478915376496,0.6248748447360722,0.21209036611016263,0.3193142035758958,0.15627941442213084
72.0,227,0.16490342674063863,0.626743482322946,0.20835309093641527,0.3253114352624519,0.16040800852181325
73.0,219,0.16680619469439584,0.6295976342535818,0.20359617105202224,0.33147297466644776,0.16466677997205192
74.0,213,0.16776204526271518,0.6305534848219012,0.20168446991538352,0.33461159919853045,0.16684955393581527
