group,loan_age_months,survival,cumulative_event_prob,n_loans,events
660-699,39,0.9259598914626194,0.07404010853738063,1791,121
660-699,40,0.9248806841299125,0.07511931587008747,1791,121
660-699,41,0.9248806841299125,0.07511931587008747,1791,121
660-699,42,0.9237231363400131,0.07627686365998687,1791,121
660-699,43,0.9237231363400131,0.07627686365998687,1791,121
660-699,44,0.9212598746431069,0.07874012535689312,1791,121
660-699,45,0.9212598746431069,0.07874012535689312,1791,121
660-699,46,0.9212598746431069,0.07874012535689312,1791,121
660-699,47,0.9212598746431069,0.07874012535689312,1791,121
660-699,48,0.9212598746431069,0.07874012535689312,1791,121
660-699,49,0.9212598746431069,0.07874012535689312,1791,121
660-699,50,0.9212598746431069,0.07874012535689312,1791,121
660-699,51,0.9195787434849987,0.08042125651500132,1791,121
660-699,52,0.9195787434849987,0.08042125651500132,1791,121
660-699,53,0.9195787434849987,0.08042125651500132,1791,121
660-699,54,0.9195787434849987,0.08042125651500132,1791,121
660-699,55,0.9195787434849987,0.08042125651500132,1791,121
660-699,56,0.9195787434849987,0.08042125651500132,1791,121
660-699,57,0.9195787434849987,0.08042125651500132,1791,121
660-699,58,0.9195787434849987,0.08042125651500132,1791,121
660-699,59,0.9195787434849987,0.08042125651500132,1791,121
660-699,60,0.9195787434849987,0.08042125651500132,1791,121
660-699,61,0.9165538134077449,0.08344618659225511,1791,121
660-699,62,0.9132449548755865,0.08675504512441345,1791,121
660-699,63,0.9132449548755865,0.08675504512441345,1791,121
660-699,64,0.9095174244475228,0.09048257555247718,1791,121
660-699,65,0.9095174244475228,0.09048257555247718,1791,121
660-699,66,0.9095174244475228,0.09048257555247718,1791,121
660-699,67,0.9000923734169785,0.09990762658302155,1791,121
660-699,68,0.9000923734169785,0.09990762658302155,1791,121
660-699,69,0.8942094167279788,0.10579058327202118,1791,121
660-699,70,0.8942094167279788,0.10579058327202118,1791,121
660-699,71,0.8942094167279788,0.10579058327202118,1791,121
660-699,72,0.8942094167279788,0.10579058327202118,1791,121
660-699,73,0.8942094167279788,0.10579058327202118,1791,121
660-699,74,0.8942094167279788,0.10579058327202118,1791,121
660-699,75,0.8942094167279788,0.10579058327202118,1791,121
660-699,76,0.8942094167279788,0.10579058327202118,1791,121
660-699,77,0.8942094167279788,0.10579058327202118,1791,121
660-699,78,0.8942094167279788,0.10579058327202118,1791,121
660-699,79,0.8942094167279788,0.10579058327202118,1791,121
660-699,80,0.8942094167279788,0.10579058327202118,1791,121
