group,loan_age_months,survival,cumulative_event_prob,n_loans,events
all,49,0.6604812890938995,0.33951871090610053,16000,5437
all,50,0.6583624754771304,0.34163752452286955,16000,5437
all,51,0.6554418286358277,0.3445581713641723,16000,5437
all,52,0.651901633573752,0.34809836642624803,16000,5437
all,53,0.6491219514813564,0.35087804851864357,16000,5437
all,54,0.6455318279462537,0.35446817205374626,16000,5437
all,55,0.6427842686427185,0.35721573135728146,16000,5437
all,56,0.6397594014961646,0.3602405985038354,16000,5437
all,57,0.6368855134934363,0.36311448650656375,16000,5437
all,58,0.6343675159440416,0.3656324840559584,16000,5437
all,59,0.6327619738620681,0.3672380261379319,16000,5437
all,60,0.6298831659737063,0.3701168340262937,16000,5437
all,61,0.6262103778339183,0.3737896221660817,16000,5437
all,62,0.6235792417925994,0.3764207582074006,16000,5437
all,63,0.6205120718556706,0.3794879281443294,16000,5437
all,64,0.6174678589111617,0.38253214108883826,16000,5437
all,65,0.6138438940507348,0.3861561059492652,16000,5437
all,66,0.6107623483978699,0.3892376516021301,16000,5437
all,67,0.608414552440272,0.391585447559728,16000,5437
all,68,0.6047383315796057,0.39526166842039434,16000,5437
all,69,0.6017965884794966,0.3982034115205034,16000,5437
all,70,0.5990040289041859,0.4009959710958141,16000,5437
all,71,0.5939277235744899,0.40607227642551014,16000,5437
all,72,0.5892967081859947,0.41070329181400533,16000,5437
all,73,0.584846786980707,0.415153213019293,16000,5437
all,74,0.5806940287299562,0.41930597127004376,16000,5437
all,75,0.577576208441473,0.42242379155852705,16000,5437
all,76,0.5731939913819778,0.4268060086180222,16000,5437
all,77,0.5721722552119565,0.42782774478804353,16000,5437
all,78,0.5697006687963542,0.43029933120364583,16000,5437
all,79,0.5667564792935308,0.4332435207064692,16000,5437
all,80,0.5649686039645293,0.4350313960354707,16000,5437
all,81,0.5581617533143542,0.44183824668564575,16000,5437
all,82,0.5552846308745895,0.44471536912541054,16000,5437
all,83,0.5552846308745895,0.44471536912541054,16000,5437
all,84,0.5552846308745895,0.44471536912541054,16000,5437
all,85,0.5552846308745895,0.44471536912541054,16000,5437
all,86,0.5552846308745895,0.44471536912541054,16000,5437
all,87,0.5552846308745895,0.44471536912541054,16000,5437
all,88,0.5552846308745895,0.44471536912541054,16000,5437
all,89,0.5552846308745895,0.44471536912541054,16000,5437
all,90,0.5552846308745895,0.44471536912541054,16000,5437
all,91,0.5552846308745895,0.44471536912541054,16000,5437
all,92,0.5552846308745895,0.44471536912541054,16000,5437
all,93,0.5552846308745895,0.44471536912541054,16000,5437
all,94,0.5552846308745895,0.44471536912541054,16000,5437
all,95,0.5552846308745895,0.44471536912541054,16000,5437
all,96,0.5552846308745895,0.44471536912541054,16000,5437
all,97,0.5552846308745895,0.44471536912541054,16000,5437
all,98,0.5552846308745895,0.44471536912541054,16000,5437
all,99,0.5552846308745895,0.44471536912541054,16000,5437
all,100,0.5552846308745895,0.44471536912541054,16000,5437
all,101,0.5552846308745895,0.44471536912541054,16000,5437
all,102,0.5552846308745895,0.44471536912541054,16000,5437
all,103,0.5552846308745895,0.44471536912541054,16000,5437
all,104,0.5552846308745895,0.44471536912541054,16000,5437
all,105,0.5552846308745895,0.44471536912541054,16000,5437
all,106,0.5552846308745895,0.44471536912541054,16000,5437
all,107,0.5552846308745895,0.44471536912541054,16000,5437
all,108,0.5552846308745895,0.44471536912541054,16000,5437
all,109,0.5552846308745895,0.44471536912541054,16000,5437
all,110,0.5552846308745895,0.44471536912541054,16000,5437
all,111,0.5552846308745895,0.44471536912541054,16000,5437
all,112,0.5552846308745895,0.44471536912541054,16000,5437
all,113,0.5552846308745895,0.44471536912541054,16000,5437
all,114,0.5552846308745895,0.44471536912541054,16000,5437
all,115,0.5552846308745895,0.44471536912541054,16000,5437
all,116,0.5552846308745895,0.44471536912541054,16000,5437
all,117,0.5552846308745895,0.44471536912541054,16000,5437
all,118,0.5552846308745895,0.44471536912541054,16000,5437
all,119,0.5552846308745895,0.44471536912541054,16000,5437
all,120,0.5552846308745895,0.44471536912541054,16000,5437
