start_state,horizon_month,p_Current,p_DQ30,p_DQ60,p_DQ90plus,p_Default,p_Prepaid
Current,10,0.8657782894432414,0.005691355091700028,0.0016894011041208154,0.003162643212306424,0.0035575564566529714,0.12012075469197876
DQ30,10,0.7429470578555744,0.005056796220950661,0.0018969047968992046,0.014920110377710518,0.1518790369784198,0.08330009377044599
DQ60,10,0.4633760111137937,0.0033361748430146753,0.0016608431675362992,0.022506126839374422,0.46230963526612356,0.04681120877015768
DQ90plus,10,0.3319034415738401,0.002412900521754355,0.0012510614371653232,0.017828062655095425,0.613686511494293,0.03291802231785167
Default,10,0.0,0.0,0.0,0.0,1.0,0.0
Prepaid,10,0.0,0.0,0.0,0.0,0.0,1.0
Current,11,0.8540599748871771,0.005615153404032825,0.0016686841511162763,0.003178502073016902,0.004238827147915961,0.13123885833674143
DQ30,11,0.7345298121907361,0.004943486671015637,0.0017321140346058992,0.010879667902563407,0.15507018338346334,0.09284473581761621
DQ60,11,0.4598947735335162,0.0032169759331387,0.0014031117148041643,0.01559791531048412,0.46711880245893567,0.0527684210491215
DQ90plus,11,0.32963849823782376,0.0023214426269975194,0.001046654751334142,0.012312032461259897,0.617495817314745,0.037185554607839615
Default,11,0.0,0.0,0.0,0.0,1.0,0.0
Prepaid,11,0.0,0.0,0.0,0.0,0.0,1.0
Current,12,0.8425081428838425,0.005539752889223923,0.0016475411389726027,0.0031746615972200617,0.00492340434004152,0.14220649715069994
DQ30,12,0.7256873796872859,0.004847482653053785,0.0016168271147681639,0.008169842188678401,0.15739846660795367,0.10228000174826075
DQ60,12,0.4555359906239628,0.0031242077244800514,0.001227354839674371,0.010980971150191345,0.47045275277360615,0.05867872288808565
DQ90plus,12,0.32666590036328075,0.002250798554845475,0.0009074036048741245,0.008626453548360826,0.6201272040112412,0.04142223991739759
Default,12,0.0,0.0,0.0,0.0,1.0,0.0
Prepaid,12,0.0,0.0,0.0,0.0,0.0,1.0
